CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,crimeCaseNumber
12/30/15,2145,1F,500 MC ELDERRY ST,HOMICIDE,FIREARM,312,EASTERN,Oldtown,"(39.2964200000, -76.6028300000)",
12/29/15,1442,1F,4000 PENHURST AV,HOMICIDE,FIREARM,621,NORTHWESTERN,West Arlington,"(39.3387300000, -76.6857900000)",
12/28/15,117,1F,1000 GREENMOUNT AV,HOMICIDE,FIREARM,311,EASTERN,Johnston Square,"(39.3016400000, -76.6073000000)",
12/28/15,1623,1F,1900 BAKER ST,HOMICIDE,FIREARM,741,WESTERN,Easterwood,"(39.3066300000, -76.6480300000)",
12/28/15,2134,1K,1700 E EAGER ST,HOMICIDE,KNIFE,321,EASTERN,Middle East,"(39.3018800000, -76.5933200000)",
12/27/15,2049,1F,400 N MONTFORD AV,HOMICIDE,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2959500000, -76.5835700000)",
12/26/15,1245,1F,800 W LEXINGTON ST,HOMICIDE,FIREARM,712,WESTERN,Poppleton,"(39.2910500000, -76.6311900000)",
12/23/15,1948,1F,5300 FRANKFORD AV,HOMICIDE,FIREARM,444,NORTHEASTERN,Frankford,"(39.3244000000, -76.5407900000)",
12/20/15,149,1K,300 N CALVERT ST,HOMICIDE,KNIFE,111,CENTRAL,Downtown,"(39.2936900000, -76.6125800000)",
12/20/15,149,1K,300 N CALVERT ST,HOMICIDE,KNIFE,111,CENTRAL,Downtown,"(39.2936900000, -76.6125800000)",
12/20/15,1102,1F,1100 N CARROLLTON AV,HOMICIDE,FIREARM,743,WESTERN,Sandtown-Winchester,"(39.3015300000, -76.6374000000)",
12/20/15,1235,1K,1300 MC CULLOH ST,HOMICIDE,KNIFE,132,CENTRAL,Madison Park,"(39.3027100000, -76.6279200000)",
12/18/15,1841,1F,2400 W FAYETTE ST,HOMICIDE,FIREARM,714,WESTERN,Penrose/Fayette Street Outreach,"(39.2892300000, -76.6549000000)",
12/17/15,1710,1O,3600 PULASKI HWY,HOMICIDE,OTHER,223,EASTERN,Baltimore Highlands,"(39.2963100000, -76.5674200000)",
12/16/15,950,1F,2100 BARCLAY ST,HOMICIDE,FIREARM,341,EASTERN,Barclay,"(39.3135700000, -76.6111100000)",
12/16/15,1238,1O,700 E 23RD ST,HOMICIDE,OTHER,342,EASTERN,East Baltimore Midway,"(39.3155600000, -76.6079100000)",
12/15/15,1947,1K,300 S DALLAS CT,HOMICIDE,KNIFE,211,SOUTHEASTERN,Perkins Homes,"(39.2873000000, -76.5964700000)",
12/14/15,1016,1F,5300 GIST AV,HOMICIDE,FIREARM,623,NORTHWESTERN,Woodmere,"(39.3465700000, -76.6849200000)",
12/13/15,2321,1F,1500 N SMALLWOOD ST,HOMICIDE,FIREARM,723,WESTERN,Coppin Heights/Ash-Co-East,"(39.3055000000, -76.6524900000)",
12/11/15,42,1F,5100 PARK HEIGHTS AV,HOMICIDE,FIREARM,614,NORTHWESTERN,Central Park Heights,"(39.3484300000, -76.6749100000)",
12/9/15,204,1F,2400 GUILFORD AV,HOMICIDE,FIREARM,514,NORTHERN,Barclay,"(39.3166600000, -76.6128100000)",
12/6/15,250,1F,2600 BOONE ST,HOMICIDE,FIREARM,513,NORTHERN,Better Waverly,"(39.3196700000, -76.6086600000)",
12/6/15,1725,1F,400 MANSE CT,HOMICIDE,FIREARM,123,CENTRAL,Upton,"(39.3013200000, -76.6269600000)",
12/6/15,2206,1F,1900 WILHELM ST,HOMICIDE,FIREARM,934,SOUTHERN,Carrollton Ridge,"(39.2837100000, -76.6469200000)",
12/5/15,322,1K,2200 DRUID HILL AV,HOMICIDE,KNIFE,131,CENTRAL,Druid Heights,"(39.3091500000, -76.6374700000)",
12/4/15,1635,1F,2000 KENNEDY AV,HOMICIDE,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3131500000, -76.6043200000)",
12/4/15,1750,1F,5600 THE ALAMEDA,HOMICIDE,FIREARM,522,NORTHERN,Glen Oaks,"(39.3573200000, -76.5954300000)",
12/3/15,147,1F,900 DANTREY CT,HOMICIDE,FIREARM,913,SOUTHERN,Brooklyn,"(39.2297100000, -76.5994100000)",
12/2/15,134,1F,1300 N LONGWOOD ST,HOMICIDE,FIREARM,813,SOUTHWESTERN,Rosemont,"(39.3029600000, -76.6672100000)",
12/2/15,1048,1F,1900 WALBROOK AV,HOMICIDE,FIREARM,731,WESTERN,Mondawmin,"(39.3109000000, -76.6482800000)",
12/2/15,2106,1F,2800 LAURETTA AV,HOMICIDE,FIREARM,842,SOUTHWESTERN,Penrose/Fayette Street Outreach,"(39.2936900000, -76.6630200000)",
12/1/15,1526,1F,1200 N CAROLINE ST,HOMICIDE,FIREARM,343,EASTERN,Oliver,"(39.3043100000, -76.5980200000)",
11/29/15,1427,1F,2000 DENISON ST,HOMICIDE,FIREARM,811,SOUTHWESTERN,Walbrook,"(39.3100900000, -76.6741500000)",
11/28/15,405,1F,600 S MONROE ST,HOMICIDE,FIREARM,934,SOUTHERN,Carrollton Ridge,"(39.2807100000, -76.6465400000)",
11/21/15,1017,1F,1500 SCHOOL ST,HOMICIDE,FIREARM,742,WESTERN,Sandtown-Winchester,"(39.3058300000, -76.6419800000)",
11/20/15,1628,1F,500 ANNABEL AV,HOMICIDE,FIREARM,913,SOUTHERN,Brooklyn,"(39.2378300000, -76.6031500000)",
11/19/15,2144,1F,2600 W FAIRMOUNT AV,HOMICIDE,FIREARM,842,SOUTHWESTERN,Shipley Hill,"(39.2882900000, -76.6586500000)",
11/18/15,2215,1F,3200 BELAIR RD,HOMICIDE,FIREARM,431,NORTHEASTERN,Clifton Park,"(39.3207400000, -76.5747700000)",
11/16/15,1044,1F,5300 SINCLAIR LA,HOMICIDE,FIREARM,443,NORTHEASTERN,Frankford,"(39.3235900000, -76.5417400000)",
11/16/15,1817,1F,1200 N EDEN ST,HOMICIDE,FIREARM,343,EASTERN,Oliver,"(39.3041500000, -76.5995500000)",
11/16/15,2130,1F,3100 NORMOUNT AV,HOMICIDE,FIREARM,813,SOUTHWESTERN,Rosemont,"(39.3024400000, -76.6692500000)",
11/15/15,1952,1F,3500 E BALTIMORE ST,HOMICIDE,FIREARM,223,SOUTHEASTERN,Baltimore Highlands,"(39.2925500000, -76.5684700000)",
11/14/15,619,1F,0 N BENTALOU ST,HOMICIDE,FIREARM,714,WESTERN,Penrose/Fayette Street Outreach,"(39.2883200000, -76.6529200000)",
11/14/15,1648,1K,0 N ABINGTON AV,HOMICIDE,KNIFE,842,SOUTHWESTERN,Carroll-South Hilton,"(39.2861400000, -76.6711000000)",
11/14/15,2043,1F,5200 WINDSOR MILL RD,HOMICIDE,FIREARM,821,SOUTHWESTERN,Dickeyville,"(39.3107200000, -76.7082400000)",
11/14/15,2113,1F,2400 WESTPORT ST,HOMICIDE,FIREARM,921,SOUTHERN,Westport,"(39.2620100000, -76.6366000000)",
11/14/15,2320,1F,1200 N CAROLINE ST,HOMICIDE,FIREARM,343,EASTERN,Oliver,"(39.3044800000, -76.5980300000)",
11/12/15,1823,1F,4000 BELWOOD AV,HOMICIDE,FIREARM,426,NORTHEASTERN,Waltherson,"(39.3379500000, -76.5554500000)",
11/9/15,1845,1F,3500 PARK HEIGHTS AV,HOMICIDE,FIREARM,612,NORTHWESTERN,Park Circle,"(39.3283900000, -76.6582500000)",
11/8/15,134,1F,2700 EDMONDSON AV,HOMICIDE,FIREARM,721,WESTERN,Mosher,"(39.2945700000, -76.6615100000)",
11/8/15,1129,1F,5400 BELAIR RD,HOMICIDE,FIREARM,426,NORTHEASTERN,Waltherson,"(39.3382500000, -76.5515200000)",
11/8/15,1630,1F,0 S GILMOR ST,HOMICIDE,FIREARM,933,SOUTHERN,Union Square,"(39.2879000000, -76.6423900000)",
11/7/15,258,1F,3200 CHESTERFIELD AV,HOMICIDE,FIREARM,432,NORTHEASTERN,Belair-Edison,"(39.3230400000, -76.5673100000)",
11/7/15,258,1F,3200 CHESTERFIELD AV,HOMICIDE,FIREARM,432,NORTHEASTERN,Belair-Edison,"(39.3230400000, -76.5673100000)",
11/5/15,2206,1K,4000 GRANTLEY RD,HOMICIDE,KNIFE,643,NORTHWESTERN,East Arlington,"(39.3336900000, -76.6705300000)",
11/4/15,26,1F,1100 LAURENS ST,HOMICIDE,FIREARM,743,WESTERN,Sandtown-Winchester,"(39.3034500000, -76.6369200000)",
11/4/15,1545,1F,2200 N FULTON AV,HOMICIDE,FIREARM,732,WESTERN,Parkview/Woodbrook,"(39.3133000000, -76.6462400000)",
11/3/15,1811,1F,800 LYNDHURST ST,HOMICIDE,FIREARM,844,SOUTHWESTERN,Edmondson Village,"(39.2965200000, -76.6813800000)",
